PicoQuant FluoFit 4.6.5.0
Saved : 5/21/2025 12:47:27 PM

Repeated with correct IRF

Model: Exp. [Reconv.] (Exponential)
Plotted Data Set #0 Decay:
"\..\tryptamine_0p067odat261ex_350em_200uw_50ns_20mins_1938_may20_2025.sdt" (0)
Plotted Data Set #0 IRF:
"\..\irf_261ex_261emt261ex_100uw_2143_nodblexc_05202025_correctcuvetteposition.sdt" (0)
X²(reduced): 0.8238 ; Fitted Data Points: 3766

Data Set #0
     Decay                 IRF                   Model Decay           Residuals
     t[ns]     Intens.     t[ns]     Intens.     t[ns]     Intens.     t[ns]       diff.
    4.1016          0    3.2694          0    4.1016      0.000    4.1016      0.000
    4.1138          0    3.2816          0    4.1138      0.000    4.1138      0.000
    4.1260          0    3.2938          0    4.1260      0.000    4.1260      0.000
    4.1382          0    3.3060          0    4.1382      0.000    4.1382      0.000
    4.1504          0    3.3182          0    4.1504      0.000    4.1504      0.000
    4.1626          0    3.3304          0    4.1626      0.000    4.1626      0.000
    4.1748          0    3.3426          0    4.1748      0.000    4.1748      0.000
    4.1870          0    3.3548          0    4.1870      0.000    4.1870      0.000
    4.1992          0    3.3670          0    4.1992      0.000    4.1992      0.000
    4.2114          0    3.3792          0    4.2114      0.000    4.2114      0.000
    4.2236          0    3.3914          0    4.2236      0.000    4.2236      0.000
    4.2358          0    3.4036          0    4.2358      0.000    4.2358      0.000
    4.2480          1    3.4158          0    4.2480      0.000    4.2480      0.698
    4.2603          0    3.4281          0    4.2603      0.000    4.2603      0.000
    4.2725          0    3.4403          0    4.2725      0.000    4.2725      0.000
    4.2847          0    3.4525          0    4.2847      0.000    4.2847      0.000
    4.2969          1    3.4647          0    4.2969      0.000    4.2969      0.698
    4.3091          0    3.4769          0    4.3091      0.000    4.3091      0.000
    4.3213          0    3.4891          0    4.3213      0.000    4.3213      0.000
    4.3335          0    3.5013          0    4.3335      0.000    4.3335      0.000
    4.3457          0    3.5135          0    4.3457      0.000    4.3457      0.000
    4.3579          0    3.5257          0    4.3579      0.000    4.3579      0.000
    4.3701          0    3.5379          0    4.3701      0.000    4.3701      0.000
    4.3823          0    3.5501          0    4.3823      0.000    4.3823      0.000
    4.3945          0    3.5623          0    4.3945      0.000    4.3945      0.000
    4.4067          0    3.5745          0    4.4067      0.000    4.4067      0.000
    4.4189          0    3.5867          0    4.4189      0.000    4.4189      0.000
    4.4312          0    3.5990          0    4.4312      0.000    4.4312      0.000
    4.4434          0    3.6112          0    4.4434      0.000    4.4434      0.000
    4.4556          0    3.6234          1    4.4556      0.000    4.4556      0.000
    4.4678          0    3.6356          0    4.4678      0.000    4.4678      0.000
    4.4800          0    3.6478          0    4.4800      0.000    4.4800      0.000
    4.4922          0    3.6600          0    4.4922      0.000    4.4922      0.000
    4.5044          0    3.6722          0    4.5044      0.000    4.5044      0.000
    4.5166          0    3.6844          0    4.5166      0.000    4.5166      0.000
    4.5288          0    3.6966          0    4.5288      0.000    4.5288      0.000
    4.5410          0    3.7088          0    4.5410      0.000    4.5410      0.000
    4.5532          0    3.7210          0    4.5532      0.000    4.5532      0.000
    4.5654          0    3.7332          0    4.5654      0.000    4.5654      0.000
    4.5776          0    3.7454          0    4.5776      0.000    4.5776      0.000
    4.5898          0    3.7576          0    4.5898      0.000    4.5898      0.000
    4.6021          0    3.7699          0    4.6021      0.004    4.6021     -0.003
    4.6143          0    3.7821          0    4.6143      0.028    4.6143     -0.020
    4.6265          0    3.7943          0    4.6265      0.083    4.6265     -0.060
    4.6387          0    3.8065          0    4.6387      0.198    4.6387     -0.144
    4.6509          0    3.8187          0    4.6509      0.272    4.6509     -0.198
    4.6631          0    3.8309          0    4.6631      0.312    4.6631     -0.227
    4.6753          0    3.8431          0    4.6753      0.346    4.6753     -0.251
    4.6875          0    3.8553          0    4.6875      0.345    4.6875     -0.251
    4.6997          0    3.8675          0    4.6997      0.344    4.6997     -0.250
    4.7119          0    3.8797          0    4.7119      0.343    4.7119     -0.250
    4.7241          0    3.8919          1    4.7241      0.346    4.7241     -0.252
    4.7363          0    3.9041          0    4.7363      0.373    4.7363     -0.271
    4.7485          0    3.9163          0    4.7485      0.437    4.7485     -0.318
    4.7607          0    3.9285          0    4.7607      0.603    4.7607     -0.439
    4.7729          0    3.9408          0    4.7729      1.771    4.7729     -1.288
    4.7852          2    3.9530          0    4.7852      8.058    4.7852     -3.504
    4.7974         23    3.9652          0    4.7974     32.719    4.7974     -1.944
    4.8096        108    3.9774          0    4.8096    107.906    4.8096      0.009
    4.8218        283    3.9896          0    4.8218    269.274    4.8218      0.813
    4.8340        551    4.0018          0    4.8340    511.789    4.8340      1.667
    4.8462        836    4.0140          0    4.8462    770.333    4.8462      2.268
    4.8584       1003    4.0262          0    4.8584    976.274    4.8584      0.844
    4.8706       1165    4.0384          0    4.8706   1113.102    4.8706      1.521
    4.8828       1262    4.0506          0    4.8828   1201.461    4.8828      1.704
    4.8950       1281    4.0628          0    4.8950   1262.215    4.8950      0.525
    4.9072       1378    4.0750          0    4.9072   1306.727    4.9072      1.920
    4.9194       1343    4.0872          0    4.9194   1336.209    4.9194      0.185
    4.9316       1370    4.0994          0    4.9316   1355.501    4.9316      0.392
    4.9438       1396    4.1116          0    4.9438   1369.955    4.9438      0.697
    4.9561       1407    4.1239          0    4.9561   1379.824    4.9561      0.724
    4.9683       1423    4.1361          0    4.9683   1388.318    4.9683      0.919
    4.9805       1370    4.1483          0    4.9805   1395.136    4.9805     -0.679
    4.9927       1421    4.1605          0    4.9927   1400.020    4.9927      0.557
    5.0049       1412    4.1727          0    5.0049   1403.776    5.0049      0.219
    5.0171       1398    4.1849          0    5.0171   1407.394    5.0171     -0.251
    5.0293       1440    4.1971          0    5.0293   1410.710    5.0293      0.772
    5.0415       1384    4.2093          0    5.0415   1413.830    5.0415     -0.802
    5.0537       1435    4.2215          0    5.0537   1417.585    5.0537      0.460
    5.0659       1419    4.2337          0    5.0659   1420.594    5.0659     -0.042
    5.0781       1382    4.2459          0    5.0781   1423.674    5.0781     -1.121
    5.0903       1437    4.2581          0    5.0903   1427.451    5.0903      0.252
    5.1025       1422    4.2703          0    5.1025   1431.712    5.1025     -0.258
    5.1147       1423    4.2825          1    5.1147   1436.242    5.1147     -0.351
    5.1270       1477    4.2948          0    5.1270   1441.250    5.1270      0.930
    5.1392       1487    4.3070          0    5.1392   1446.004    5.1392      1.063
    5.1514       1445    4.3192          0    5.1514   1450.410    5.1514     -0.142
    5.1636       1357    4.3314          0    5.1636   1454.862    5.1636     -2.657
    5.1758       1447    4.3436          0    5.1758   1459.166    5.1758     -0.320
    5.1880       1437    4.3558          0    5.1880   1463.518    5.1880     -0.700
    5.2002       1464    4.3680          0    5.2002   1468.119    5.2002     -0.108
    5.2124       1460    4.3802          0    5.2124   1472.155    5.2124     -0.318
    5.2246       1523    4.3924          1    5.2246   1475.673    5.2246      1.213
    5.2368       1509    4.4046          0    5.2368   1478.918    5.2368      0.774
    5.2490       1489    4.4168          0    5.2490   1481.615    5.2490      0.191
    5.2612       1473    4.4290          0    5.2612   1484.004    5.2612     -0.287
    5.2734       1485    4.4412          0    5.2734   1486.703    5.2734     -0.044
    5.2856       1505    4.4534          0    5.2856   1488.579    5.2856      0.423
    5.2979       1514    4.4657          0    5.2979   1490.296    5.2979      0.609
    5.3101       1475    4.4779          0    5.3101   1490.918    5.3101     -0.414
    5.3223       1438    4.4901          0    5.3223   1490.817    5.3223     -1.393
    5.3345       1503    4.5023          0    5.3345   1489.703    5.3345      0.343
    5.3467       1483    4.5145          0    5.3467   1488.210    5.3467     -0.135
    5.3589       1471    4.5267          0    5.3589   1486.436    5.3589     -0.402
    5.3711       1508    4.5389          0    5.3711   1484.662    5.3711      0.601
    5.3833       1520    4.5511          0    5.3833   1482.808    5.3833      0.954
    5.3955       1497    4.5633          0    5.3955   1481.007    5.3955      0.413
    5.4077       1509    4.5755          0    5.4077   1478.981    5.4077      0.773
    5.4199       1504    4.5877          0    5.4199   1476.683    5.4199      0.704
    5.4321       1439    4.5999          0    5.4321   1474.461    5.4321     -0.935
    5.4443       1432    4.6121          1    5.4443   1472.279    5.4443     -1.064
    5.4565       1498    4.6243          2    5.4565   1469.784    5.4565      0.729
    5.4687       1462    4.6366          6    5.4687   1467.354    5.4687     -0.140
    5.4810       1450    4.6488          4    5.4810   1465.097    5.4810     -0.396
    5.4932       1468    4.6610          2    5.4932   1462.643    5.4932      0.140
    5.5054       1453    4.6732          2    5.5054   1460.033    5.5054     -0.185
    5.5176       1471    4.6854          0    5.5176   1457.370    5.5176      0.355
    5.5298       1466    4.6976          0    5.5298   1454.666    5.5298      0.296
    5.5420       1567    4.7098          0    5.5420   1451.942    5.5420      2.907
    5.5542       1426    4.7220          0    5.5542   1449.378    5.5542     -0.619
    5.5664       1470    4.7342          1    5.5664   1446.628    5.5664      0.610
    5.5786       1408    4.7464          3    5.5786   1444.108    5.5786     -0.962
    5.5908       1365    4.7586          4    5.5908   1441.561    5.5908     -2.072
    5.6030       1427    4.7708         28    5.6030   1438.804    5.6030     -0.312
    5.6152       1363    4.7830        196    5.6152   1436.144    5.6152     -1.981
    5.6274       1389    4.7952        839    5.6274   1433.457    5.6274     -1.193
    5.6396       1411    4.8074       2958    5.6396   1430.843    5.6396     -0.528
    5.6519       1379    4.8197       7120    5.6519   1428.132    5.6519     -1.323
    5.6641       1362    4.8319      11635    5.6641   1425.335    5.6641     -1.716
    5.6763       1451    4.8441      13107    5.6763   1422.500    5.6763      0.748
    5.6885       1428    4.8563      10769    5.6885   1419.643    5.6885      0.221
    5.7007       1398    4.8685       7240    5.7007   1416.864    5.7007     -0.505
    5.7129       1443    4.8807       4695    5.7129   1413.978    5.7129      0.764
    5.7251       1349    4.8929       3239    5.7251   1411.178    5.7251     -1.693
    5.7373       1362    4.9051       2447    5.7373   1408.272    5.7373     -1.254
    5.7495       1405    4.9173       1679    5.7495   1405.337    5.7495     -0.009
    5.7617       1376    4.9295       1128    5.7617   1402.471    5.7617     -0.714
    5.7739       1453    4.9417        898    5.7739   1399.592    5.7739      1.401
    5.7861       1401    4.9539        642    5.7861   1396.691    5.7861      0.115
    5.7983       1442    4.9661        578    5.7983   1393.743    5.7983      1.271
    5.8105       1406    4.9783        501    5.8105   1390.781    5.8105      0.406
    5.8228       1390    4.9906        401    5.8228   1387.815    5.8228      0.059
    5.8350       1415    5.0028        336    5.8350   1384.883    5.8350      0.801
    5.8472       1347    5.0150        331    5.8472   1381.934    5.8472     -0.952
    5.8594       1378    5.0272        318    5.8594   1379.028    5.8594     -0.028
    5.8716       1402    5.0394        297    5.8716   1376.068    5.8716      0.693
    5.8838       1452    5.0516        344    5.8838   1373.145    5.8838      2.069
    5.8960       1392    5.0638        301    5.8960   1370.201    5.8960      0.584
    5.9082       1380    5.0760        298    5.9082   1367.213    5.9082      0.344
    5.9204       1333    5.0882        334    5.9204   1364.231    5.9204     -0.855
    5.9326       1407    5.1004        361    5.9326   1361.273    5.9326      1.219
    5.9448       1389    5.1126        371    5.9448   1358.400    5.9448      0.821
    5.9570       1398    5.1248        402    5.9570   1355.492    5.9570      1.137
