PicoQuant FluoFit-style Python Export
Saved : 09/11/2026 12:53:04 PM

Python 1-exponential reconvolution fit

Model: Exp. [Reconv.] (1 Exponential Components)
Plotted Data Set #0 Decay:
"tryptamine_0p067odat261ex_350em_200uw_50ns_20mins_1938_may20_2025.sdt" (0)
Plotted Data Set #0 IRF:
"irf_261ex_261emt261ex_100uw_2143_nodblexc_05202025_correctcuvetteposition.sdt" (0)
X²(reduced): 1.0275 ; Fitted Data Points: 3915

Data Set #0
     Decay                 IRF                   Model Decay           Residuals
     t[ns]     Intens.     t[ns]     Intens.     t[ns]     Intens.     t[ns]       diff.
    1.354980           0    1.354980           0    1.354980      0.0000    1.354980      0.0000
    1.367188           0    1.367188           0    1.367188      0.0036    1.367188     -0.0036
    1.379395           0    1.379395           0    1.379395      0.0205    1.379395     -0.0205
    1.391602           0    1.391602           0    1.391602      0.0204    1.391602     -0.0204
    1.403809           0    1.403809           0    1.403809      0.0204    1.403809     -0.0204
    1.416016           0    1.416016           1    1.416016      0.0203    1.416016     -0.0203
    1.428223           0    1.428223           0    1.428223      0.0203    1.428223     -0.0203
    1.440430           0    1.440430           0    1.440430      0.0203    1.440430     -0.0203
    1.452637           0    1.452637           0    1.452637      0.0202    1.452637     -0.0202
    1.464844           0    1.464844           0    1.464844      0.0202    1.464844     -0.0202
    1.477051           0    1.477051           0    1.477051      0.0201    1.477051     -0.0201
    1.489258           0    1.489258           0    1.489258      0.0201    1.489258     -0.0201
    1.501465           0    1.501465           0    1.501465      0.0200    1.501465     -0.0200
    1.513672           0    1.513672           0    1.513672      0.0200    1.513672     -0.0200
    1.525879           0    1.525879           0    1.525879      0.0199    1.525879     -0.0199
    1.538086           0    1.538086           0    1.538086      0.0199    1.538086     -0.0199
    1.550293           0    1.550293           0    1.550293      0.0199    1.550293     -0.0199
    1.562500           0    1.562500           0    1.562500      0.0198    1.562500     -0.0198
    1.574707           0    1.574707           0    1.574707      0.0198    1.574707     -0.0198
    1.586914           0    1.586914           0    1.586914      0.0197    1.586914     -0.0197
    1.599121           0    1.599121           0    1.599121      0.0197    1.599121     -0.0197
    1.611328           0    1.611328           0    1.611328      0.0196    1.611328     -0.0196
    1.623535           0    1.623535           0    1.623535      0.0196    1.623535     -0.0196
    1.635742           0    1.635742           0    1.635742      0.0196    1.635742     -0.0196
    1.647949           0    1.647949           0    1.647949      0.0195    1.647949     -0.0195
    1.660156           0    1.660156           0    1.660156      0.0195    1.660156     -0.0195
    1.672363           0    1.672363           0    1.672363      0.0194    1.672363     -0.0194
    1.684570           0    1.684570           0    1.684570      0.0194    1.684570     -0.0194
    1.696777           0    1.696777           0    1.696777      0.0193    1.696777     -0.0193
    1.708984           0    1.708984           0    1.708984      0.0193    1.708984     -0.0193
    1.721191           0    1.721191           0    1.721191      0.0193    1.721191     -0.0193
    1.733398           0    1.733398           0    1.733398      0.0192    1.733398     -0.0192
    1.745605           0    1.745605           0    1.745605      0.0192    1.745605     -0.0192
    1.757813           0    1.757813           0    1.757813      0.0191    1.757813     -0.0191
    1.770020           0    1.770020           0    1.770020      0.0191    1.770020     -0.0191
    1.782227           0    1.782227           0    1.782227      0.0190    1.782227     -0.0190
    1.794434           0    1.794434           0    1.794434      0.0190    1.794434     -0.0190
    1.806641           0    1.806641           0    1.806641      0.0190    1.806641     -0.0190
